variant,model,seed,same_target_as_baseline,churn_vs_baseline,d_common_acc,d_common_auc,d_common_ece,d_common_pred_pos_rate,d_common_sex_tpr_gap
cleveland_drop_any,logreg,0,True,0.03333333333333333,-0.011111111111111183,0.001984126984126977,0.026483586390594532,-0.03333333333333338,0.19999999999999996
cleveland_drop_any,logreg,1,True,0.044444444444444446,0.022222222222222254,-0.007936507936507908,0.015110667484720564,-0.0222222222222222,0.0
cleveland_drop_any,logreg,2,True,0.044444444444444446,0.0,-0.012896825396825351,0.0012230612822812792,-0.04444444444444445,0.06874999999999998
cleveland_drop_any,logreg,3,True,0.044444444444444446,-0.0444444444444444,-0.007440476190476275,-0.013955359974032522,0.022222222222222254,0.09999999999999998
cleveland_drop_any,logreg,4,True,0.044444444444444446,0.0444444444444444,0.001984126984126977,-0.027090471505178876,-0.0222222222222222,0.03125
cleveland_drop_any,logreg,5,True,0.05555555555555555,-0.033333333333333326,-0.013392857142857206,-0.0008913892448405708,-0.05555555555555558,0.006249999999999978
cleveland_drop_any,logreg,6,True,0.03333333333333333,0.011111111111111072,0.00694444444444442,-0.015376194548168173,0.033333333333333326,-0.06874999999999998
cleveland_drop_any,logreg,7,True,0.011111111111111112,-0.011111111111111183,0.008432539682539764,-0.030193983353344375,0.011111111111111072,0.0
cleveland_drop_any,logreg,8,True,0.022222222222222223,0.022222222222222254,0.0064484126984126755,-0.014585409101472262,-0.022222222222222254,0.0
cleveland_drop_any,logreg,9,True,0.022222222222222223,0.0,-0.0064484126984127865,0.00816367890486884,-0.022222222222222254,-0.03125
cleveland_drop_any,rf,0,True,0.07777777777777778,-0.033333333333333326,-0.0004960317460316332,0.018874404988368995,-0.055555555555555525,0.006249999999999978
cleveland_drop_any,rf,1,True,0.022222222222222223,-0.022222222222222143,-0.014384920634920584,-0.030420222946934736,0.0,0.09999999999999998
cleveland_drop_any,rf,2,True,0.06666666666666667,-0.022222222222222254,-0.005456349206349187,0.03324728332561694,-0.04444444444444445,0.16874999999999996
cleveland_drop_any,rf,3,True,0.1,-0.05555555555555558,-0.0064484126984127865,0.020352854754280253,0.055555555555555525,0.13124999999999998
cleveland_drop_any,rf,4,True,0.044444444444444446,0.022222222222222143,-0.001984126984126977,-0.017453041403812916,0.0,0.03125
cleveland_drop_any,rf,5,True,0.011111111111111112,-0.011111111111111072,-0.014880952380952217,0.020444752682231088,-0.011111111111111072,0.09999999999999998
cleveland_drop_any,rf,6,True,0.022222222222222223,0.0,-0.005456349206349187,-0.024976942632077948,0.022222222222222254,-0.09999999999999998
cleveland_drop_any,rf,7,True,0.022222222222222223,0.022222222222222143,0.028273809523809534,0.02210196763617389,0.0,-0.09999999999999998
cleveland_drop_any,rf,8,True,0.022222222222222223,0.0,0.001984126984126977,-0.02049134822212699,0.0222222222222222,-0.09999999999999998
cleveland_drop_any,rf,9,True,0.06666666666666667,-0.06666666666666665,-0.009920634920634885,0.009184224065799884,0.0,0.16874999999999996
cleveland_drop_any,hgb,0,True,0.12222222222222222,-0.05555555555555558,0.009424603174603141,-0.0023454558718528085,-0.033333333333333326,-0.125
cleveland_drop_any,hgb,1,True,0.12222222222222222,-0.05555555555555558,-0.017857142857142794,0.04234091487380408,0.033333333333333326,-0.03125
cleveland_drop_any,hgb,2,True,0.08888888888888889,0.022222222222222254,0.012400793650793607,-0.021386996120571877,-0.08888888888888885,0.03749999999999998
cleveland_drop_any,hgb,3,True,0.1111111111111111,-0.022222222222222254,0.00694444444444442,0.00772335201099314,0.0,0.23124999999999996
cleveland_drop_any,hgb,4,True,0.08888888888888889,0.0,0.009424603174603363,0.03107255241505845,0.0,0.13124999999999998
cleveland_drop_any,hgb,5,True,0.1,-0.033333333333333326,-0.02331349206349209,-0.006083429163917298,0.055555555555555525,0.03125
cleveland_drop_any,hgb,6,True,0.03333333333333333,0.011111111111111072,0.008432539682539764,0.007182647931073677,0.011111111111111072,-0.09999999999999998
cleveland_drop_any,hgb,7,True,0.07777777777777778,0.033333333333333326,0.0009920634920635996,-0.040286929366899565,-0.033333333333333326,-0.13124999999999998
