variant,outcome,n,mean,sd,min,max,wilcoxon_p
cleveland_drop_any,churn_vs_baseline,30,0.05703703703703703,0.03386967401161254,0.011111111111111112,0.12222222222222222,
cleveland_drop_any,d_common_acc,30,-0.00814814814814816,0.029459922676956476,-0.06666666666666665,0.0444444444444444,0.14015968439985252
cleveland_drop_any,d_common_auc,30,-0.0015707671957671829,0.011705017972015407,-0.02331349206349209,0.028273809523809534,0.45885445567308736
cleveland_drop_any,d_common_ece,30,-0.0006499321800396527,0.02198733970210886,-0.040286929366899565,0.04234091487380408,0.8871948085725307
cleveland_drop_any,d_common_sex_tpr_gap,30,0.01854166666666666,0.10719638526726455,-0.19999999999999996,0.23124999999999996,0.33924097623242633
cleveland_impute_severe,churn_vs_baseline,30,0.19481481481481483,0.030843586136066217,0.12222222222222222,0.3,
multi_site_drop_any,churn_vs_baseline,30,0.05777777777777778,0.037865572988001424,0.011111111111111112,0.14444444444444443,
multi_site_drop_any,d_common_acc,30,-0.01555555555555556,0.025202458204145788,-0.07777777777777772,0.033333333333333326,0.0032391232796322726
multi_site_drop_any,d_common_auc,30,-0.003968253968253965,0.01320240273019406,-0.0357142857142857,0.025793650793650813,0.11322879351290917
multi_site_drop_any,d_common_ece,30,0.007308597343952442,0.022963405167614793,-0.054997371894767645,0.042387894299206655,0.05768792890012264
multi_site_drop_any,d_common_sex_tpr_gap,30,0.016458333333333332,0.12859573254257278,-0.33124999999999993,0.23124999999999996,0.333506773405866
multi_site_impute_any,churn_vs_baseline,30,0.06370370370370369,0.03488512234510671,0.022222222222222223,0.13333333333333333,
multi_site_impute_any,d_common_acc,30,-0.01851851851851853,0.016591999624507647,-0.05555555555555558,0.022222222222222143,3.789889073596753e-05
multi_site_impute_any,d_common_auc,30,-0.015079365079365074,0.014172254964975066,-0.05059523809523814,0.02331349206349209,4.5775354519983155e-05
multi_site_impute_any,d_common_ece,30,0.0142135171641335,0.027700173261958543,-0.04809344394747605,0.0782995138583766,0.0061949919909238815
multi_site_impute_any,d_common_sex_tpr_gap,30,0.009166666666666663,0.08493362858354642,-0.13749999999999996,0.16874999999999996,0.5353933572922343
