,cleveland_impute_any,cleveland_drop_any,multi_site_impute_any,multi_site_drop_any,cleveland_impute_severe
cleveland_impute_any,0.0,0.05703703703703703,0.06370370370370369,0.05777777777777778,0.19481481481481483
cleveland_drop_any,0.05703703703703703,0.0,0.07185185185185185,0.031851851851851846,0.19259259259259262
multi_site_impute_any,0.06370370370370369,0.07185185185185185,0.0,0.06296296296296296,0.2103703703703704
multi_site_drop_any,0.05777777777777778,0.031851851851851846,0.06296296296296296,0.0,0.19703703703703704
cleveland_impute_severe,0.19481481481481483,0.19259259259259262,0.2103703703703704,0.19703703703703704,0.0
