variant,model,n_train_mean,n_train_std,train_pos_rate_mean,train_pos_rate_std,common_label_pos_rate_mean,common_label_pos_rate_std,common_acc_mean,common_acc_std,common_auc_mean,common_auc_std,common_ece_mean,common_ece_std,common_pred_pos_rate_mean,common_pred_pos_rate_std,common_sex_dp_diff_mean,common_sex_dp_diff_std,common_sex_tpr_gap_mean,common_sex_tpr_gap_std,fit_seconds_mean,fit_seconds_std
cleveland_drop_any,hgb,155.0,0.0,0.4580645161290323,0.0,0.4666666666666667,0.0,0.8322222222222223,0.015225781326736606,0.9177579365079366,0.01309415245887337,0.08719781719627276,0.017844071300510973,0.45888888888888885,0.0355439795970669,0.49844155844155846,0.05229967577246955,0.39625,0.12472887262645592,0.06964000000000001,0.01160653072866977
cleveland_drop_any,logreg,155.0,0.0,0.4580645161290323,0.0,0.4666666666666667,0.0,0.8344444444444445,0.011049210289019487,0.9200396825396826,0.006816502192180295,0.07392347244911998,0.015425200764249743,0.4477777777777778,0.0209840229247634,0.541038961038961,0.028872868716638828,0.5149999999999999,0.0886922738712028,0.01427,0.0003164033993355809
cleveland_drop_any,rf,155.0,0.0,0.4580645161290323,0.0,0.4666666666666667,0.0,0.828888888888889,0.01973764828810995,0.9381944444444444,0.007957836200531225,0.1161839006653707,0.01967284161759209,0.4377777777777778,0.023541109010475115,0.5340259740259741,0.026635164391444165,0.5193749999999999,0.059690317705451815,0.45366999999999996,0.00658011313648093
cleveland_impute_any,hgb,159.0,0.0,0.4528301886792453,0.0,0.4666666666666667,0.0,0.8400000000000001,0.025766706860631226,0.9173611111111111,0.014294744108751386,0.0871228255946864,0.018638495070696096,0.46222222222222226,0.03636425987743283,0.49922077922077923,0.058012534599420636,0.41187500000000005,0.09503517258245903,0.06633,0.0015592377054901602
cleveland_impute_any,logreg,159.0,0.0,0.4528301886792453,0.0,0.4666666666666667,0.0,0.8344444444444445,0.019910637119578682,0.9222718253968253,0.0050588213192847556,0.07903465381557714,0.016918364532369373,0.4633333333333334,0.026733455455731258,0.5477922077922078,0.03987292646865718,0.484375,0.07349473242651096,0.01449,0.0009585289655392682
cleveland_impute_any,rf,159.0,0.0,0.4528301886792453,0.0,0.4666666666666667,0.0,0.8455555555555556,0.013302433330420705,0.9410714285714284,0.009067723223740403,0.11309750744061886,0.015946009240732976,0.43888888888888894,0.015930231976004853,0.5124675324675325,0.0394875439942104,0.47874999999999995,0.08048248601749049,0.46236,0.010306438117345232
cleveland_impute_severe,hgb,159.0,0.0,0.27672955974842767,0.0,0.2777777777777778,0.0,0.8277777777777778,0.02579331162441504,0.8976615384615384,0.008856456282451375,0.11055155701785384,0.01765229809692698,0.2633333333333333,0.028230872592828894,0.285974025974026,0.04286282703133387,0.05499999999999999,0.14033689623347256,0.06532,0.0014860835926839586
cleveland_impute_severe,logreg,159.0,0.0,0.27672955974842767,0.0,0.2777777777777778,0.0,0.8466666666666667,0.017213259316477398,0.9089230769230768,0.005261848343951097,0.07725497527043743,0.014976593447433826,0.27999999999999997,0.011475506210984929,0.2571428571428572,0.035676879269327305,-0.040000000000000036,0.08432740427115681,0.01429,0.00023309511649396156
cleveland_impute_severe,rf,159.0,0.0,0.27672955974842767,0.0,0.2777777777777778,0.0,0.8344444444444445,0.011049210289019505,0.8983384615384615,0.010081795651087988,0.1016109772111232,0.01866045458313094,0.25,0.01593023197600486,0.26415584415584414,0.031504921987575624,0.06500000000000003,0.02415229457698237,0.45136000000000004,0.004822677909856949
multi_site_drop_any,hgb,156.0,0.0,0.46153846153846156,0.0,0.4666666666666667,0.0,0.82,0.018739423171368168,0.9146329365079365,0.014556745340014702,0.0992678912254304,0.01397582508398137,0.4666666666666667,0.030987408390150965,0.5205194805194806,0.07717001188565094,0.429375,0.17812317250524515,0.0654,0.0020417857108151415
multi_site_drop_any,logreg,156.0,0.0,0.46153846153846156,0.0,0.4666666666666667,0.0,0.8266666666666668,0.016728281171312913,0.9193948412698413,0.007621081135245664,0.0817470289913236,0.014783916885876535,0.45111111111111113,0.01405456737852613,0.5464935064935065,0.03441925978904404,0.5087499999999999,0.09177077421488823,0.01464,0.0005891613625409523
multi_site_drop_any,rf,156.0,0.0,0.46153846153846156,0.0,0.4666666666666667,0.0,0.8266666666666668,0.01073435314532554,0.9347718253968254,0.006627177190420348,0.12016585866598573,0.01749468739263733,0.4444444444444445,0.022831162973959176,0.5309090909090909,0.031221696389588997,0.48624999999999996,0.09650129532809389,0.46412,0.020437916832310613
multi_site_impute_any,hgb,622.0,0.0,0.5627009646302251,0.0,0.4666666666666667,0.0,0.8188888888888888,0.01892154040658488,0.8981646825396826,0.01789086872503564,0.12187953306244481,0.02658131142256012,0.4922222222222222,0.021627853808379876,0.5296103896103896,0.047444781482986406,0.42437500000000006,0.11518591554043786,0.16126000000000001,0.0029702974037403504
multi_site_impute_any,logreg,622.0,0.0,0.5627009646302251,0.0,0.4666666666666667,0.0,0.821111111111111,0.009728833730787931,0.9080357142857143,0.013657047089037344,0.08076555881083926,0.013247732359478397,0.45888888888888885,0.0174113470719158,0.5545454545454545,0.019214148070278925,0.49874999999999997,0.03471110933276421,0.021490000000000002,0.001239578781504248
multi_site_impute_any,rf,622.0,0.0,0.5627009646302251,0.0,0.4666666666666667,0.0,0.8244444444444443,0.015537908861780008,0.9292658730158729,0.008898513976637523,0.11925044646999883,0.015817931862994922,0.45111111111111113,0.019029974190615032,0.5371428571428571,0.02818311485835325,0.479375,0.06621264670237346,0.53163,0.006136059176883998
