case,variant,model,seed,n_train,pos_rate_train,common_acc,common_auc,common_ece,common_posrate_pred,sex_dp_diff,sex_tpr_gap,race_dp_diff,race_tpr_gap
compas,C1_nowindow,hgb,0,4571,0.4493546269962809,0.6726666666666666,0.7095523206531771,0.047051403360030504,0.3586666666666667,0.22378357572293187,0.245269442743417,0.22491608726923998,0.20705085416203117
compas,C1_nowindow,hgb,1,4571,0.4493546269962809,0.6706666666666666,0.7135038556587594,0.04755238655236613,0.36733333333333335,0.18279613134136288,0.20179118187385175,0.22811276272676417,0.1912284605305446
compas,C1_nowindow,hgb,2,4571,0.4493546269962809,0.6766666666666666,0.7118327416484621,0.045572882253274716,0.36666666666666664,0.1992066204963074,0.2088334353949785,0.2365040358027651,0.20837350737966326
compas,C1_nowindow,hgb,3,4571,0.4493546269962809,0.676,0.7146131527873106,0.04521262268340603,0.36733333333333335,0.2172659142679049,0.2088334353949785,0.22102013905538243,0.18847190289005916
compas,C1_nowindow,hgb,4,4571,0.4493546269962809,0.6673333333333333,0.716947336163624,0.05351700342103134,0.3506666666666667,0.14925990503574804,0.15447030006123702,0.19976224726284664,0.16245148211327848
compas,C2_isrecid,logreg,0,3737,0.48300776023548303,0.6746666666666666,0.7394065573245631,0.028755884527799508,0.45266666666666666,0.39603769845259396,0.44805001890563395,0.2685407176536402,0.24042813781351507
compas,C2_isrecid,logreg,1,3737,0.48300776023548303,0.68,0.7393105079765427,0.026026046861029807,0.43666666666666665,0.37625204305275883,0.42507967374277533,0.2608387277231679,0.23867085574311725
compas,C2_isrecid,logreg,2,3737,0.48300776023548303,0.6786666666666666,0.7389369827342402,0.029959421176705008,0.43933333333333335,0.37954965228606474,0.4267136606708799,0.26276672260848716,0.2409180467543533
compas,C2_isrecid,logreg,3,3737,0.48300776023548303,0.682,0.7399401648135664,0.03332786499218883,0.43733333333333335,0.3727677224952676,0.4184491978609626,0.2589007432270439,0.23393151925022626
compas,C2_isrecid,logreg,4,3737,0.48300776023548303,0.6766666666666666,0.7386577281483286,0.0264405687152263,0.43466666666666665,0.3780875589935972,0.428442175768379,0.2601993926316631,0.23666861920230042
compas,C2_isrecid,rf,0,3737,0.48300776023548303,0.6846666666666666,0.7307434397405956,0.03331393666644828,0.43333333333333335,0.24717706840241174,0.268338464862529,0.26472468632622076,0.2246978007348634
compas,C2_isrecid,rf,1,3737,0.48300776023548303,0.6806666666666666,0.7319067040666227,0.017588155390139387,0.43733333333333335,0.20903625359419298,0.23864311564846324,0.24405618157116604,0.18053144469886573
compas,C2_isrecid,rf,2,3737,0.48300776023548303,0.6793333333333333,0.7225792451588461,0.04079189178818855,0.43333333333333335,0.1954723940125987,0.20241181872197916,0.24665348038040436,0.18302359018052083
compas,C2_isrecid,rf,3,3737,0.48300776023548303,0.6806666666666666,0.7314086704102196,0.025030639767190752,0.45466666666666666,0.247705605073952,0.2499864959758008,0.2311096459681931,0.17730443580595345
compas,C2_isrecid,rf,4,3737,0.48300776023548303,0.6853333333333333,0.7275818153682514,0.048709843359292175,0.43666666666666665,0.2254467427491375,0.2237481769567331,0.2601993926316631,0.2082326002449545
