variant,model,common_acc_mean,common_acc_std,common_auc_mean,common_auc_std,common_ece_mean,common_ece_std,sex_dp_diff_mean,sex_dp_diff_std,sex_tpr_gap_mean,sex_tpr_gap_std,race_dp_diff_mean,race_dp_diff_std,race_tpr_gap_mean,race_tpr_gap_std,own_acc_mean,own_acc_std,own_auc_mean,own_auc_std,own_ece_mean,own_ece_std,common_posrate_pred_mean,common_posrate_pred_std,n_train_mean,n_train_std,pos_rate_train_mean,pos_rate_train_std
T25,hgb,0.8368666666666666,0.0031675437381879063,0.8968595557649163,0.0006999231429093437,0.01773214168088682,0.0047658874033619115,0.12246415974513594,0.008678343761466397,0.05028988375220089,0.00708567122289508,0.06610409407665507,0.015129426659698405,0.13018278497839816,0.023880271657960566,0.8329809725158561,0.004915717557541789,0.8956192323174095,0.0034925744084387564,0.01689163078495722,0.004025269897129529,0.7131333333333333,0.0019235384061671427,15135.0,0.0,0.6586719524281467,0.0
T25,logreg,0.8338000000000001,0.001980460103668393,0.8855312218061622,0.00041230195093975365,0.0141487599159156,0.0024936520636665636,0.12595147343269997,0.002142457418519779,0.0562383612662942,0.002929817258380434,0.07033816575410654,0.03154580458389051,0.12407444333665674,0.029279288502442106,0.8225158562367865,0.0033091915100419904,0.8820622276113284,0.002271068380871376,0.014847667128062536,0.004418329363208329,0.7092666666666666,0.0025970068241042902,15135.0,0.0,0.6586719524281467,0.0
T25,rf,0.8306666666666667,0.002273030282830979,0.8920147067042452,0.0008063610201103971,0.08893842407931178,0.001591728162880388,0.10206650358402551,0.00532543759858802,0.035190761065359566,0.002620129929693732,0.0006408661025385954,0.02195567497523061,0.0225722831505484,0.034610681411156405,0.8149048625792812,0.002633440416142236,0.8845995731231582,0.002967154026560947,0.08566921672894384,0.0027946617590250164,0.7626666666666667,0.0025055493963954695,15135.0,0.0,0.6586719524281467,0.0
T50,hgb,0.8110666666666667,0.00429081706800826,0.8808786523958776,0.001453105808086832,0.01615238601769925,0.00704485172622306,0.20518048128342245,0.006040194421447187,0.15661417873889005,0.014407939977690458,0.13128733200597315,0.04184561317656232,0.2841793056959892,0.05311479139528658,0.8061310782241016,0.006316565214331073,0.8837065034019348,0.003818003664023161,0.014090515628771134,0.0014791179594498243,0.3539333333333333,0.0028421431663056508,15135.0,0.0,0.3645193260654113,0.0
T50,logreg,0.8086666666666666,0.002297341458681715,0.8759167721751279,0.0007537707645611086,0.01772560546539136,0.0020480746167087964,0.18628185800432356,0.004451215592138975,0.13325145216600182,0.0051550874558939095,0.1775650199104032,0.01758555515127202,0.29567913717559824,0.040313250537645,0.8091437632135307,0.005449360007941681,0.8818186669963319,0.004149484750342989,0.016247458480201267,0.002655203603624414,0.34740000000000004,0.0025099800796022256,15135.0,0.0,0.3645193260654113,0.0
T50,rf,0.7948666666666666,0.0015018507101425395,0.8696678246610097,0.00047202984593272616,0.08781226307442183,0.0013111387059597714,0.2173939014677438,0.011475288784991853,0.2000160962978515,0.019259585970184137,0.1118980214036834,0.010511051374747378,0.18608695652173915,0.037874255101484955,0.7901162790697673,0.008430605345432853,0.8704622500561587,0.0029908273616028975,0.09315740389216516,0.00267125210887976,0.2889333333333333,0.0009249624617007835,15135.0,0.0,0.3645193260654113,0.0
T85,hgb,0.8686,0.0015881505666095188,0.8778224175938849,0.0010008679039102896,0.013953896322843379,0.0031918158705118525,0.12311127545795882,0.005178821827923334,0.23236917787841724,0.01541356838424699,0.031697984071677454,0.010490234170706412,0.21485355648535567,0.004770608473218162,0.8713002114164905,0.004025250055953409,0.8831856750309509,0.007514182819835133,0.010553575425778946,0.002540192704943409,0.11679999999999999,0.0022186081723058327,15135.0,0.0,0.16663363065741657,0.0
T85,logreg,0.869,0.0008164965809276824,0.8804707539721208,0.0008654096080218978,0.011971510450260724,0.0026670589159930166,0.12873478211400616,0.004052867464667628,0.24870913358236094,0.014373726125587547,0.007631284221005471,0.01076826350642734,0.07939330543933054,0.004535456775874235,0.8735200845665961,0.0024407505050778695,0.8834915602258657,0.006604473157123014,0.013058114171582192,0.0020138035415948313,0.11240000000000001,0.0008299933065325833,15135.0,0.0,0.16663363065741657,0.0
T85,rf,0.8433333333333334,0.0012247448713915419,0.8750114135893454,0.0009174861090037298,0.059696601049394414,0.0012540053946443032,0.04771731710092161,0.003498003668860105,0.16584906284089782,0.011701995609960244,0.02820121951219512,0.0022221615452916537,0.13347280334728034,0.010708354721397263,0.8503171247357294,0.00251126617721021,0.8727813006411612,0.008274237769094167,0.056484219271268635,0.005364610767176035,0.028066666666666667,0.002073644135332771,15135.0,0.0,0.16663363065741657,0.0
