variant,model,age,capital-gain,capital-loss,education,education-num,fnlwgt,hours-per-week,marital-status,native-country,occupation,race,relationship,sex,workclass
V0,logreg,0.007960425424673982,0.03411818037205447,0.0034610661890871327,0.0008390930636582361,0.034681463230668036,0.0007862545756119887,0.00795300792867765,0.12911764863589564,0.0024476619695149803,0.020015241613761097,0.0006131722217456097,0.011937566131892006,0.006133442540322553,0.002908596788492334
V0,rf,0.015654077924817007,0.0338083100084363,0.006532892573209823,0.004502453582561191,0.013704527621682713,0.0006563031736159131,0.00930432154040838,0.04757478042424502,0.0006476680464996794,0.01488809858299022,0.0003257665937428378,0.015641410092799173,0.0021011844758064874,0.0032538789929364097
V0,hgb,0.06126438368651342,0.05245462145747541,0.014244720172729413,3.421655156145378e-05,0.033407854592055614,0.001566175235215117,0.012810361884437196,0.024964241860415265,0.00040831974948526045,0.01199909560169298,0.0005843847410489452,0.022674447441232023,0.0014841582840025606,0.0026595632971574412
V1_workforce,logreg,0.007965698102550886,0.03422936461550557,0.003486602929821547,0.0009230314144360746,0.03527037219743766,0.0007711738232097995,0.007965005505033148,0.10379364704873026,0.002529209741763916,0.01963875900823607,0.0005311105868222551,0.012572231218542678,0.005693598432852857,0.002862058703671925
V1_workforce,rf,0.015578473086107315,0.03421169220787575,0.00652431330073214,0.004034335857069367,0.01448893899422329,0.0005587251201098154,0.009085985758407704,0.04991057672371885,0.0006538455695207354,0.014641936020075486,0.000205142916380711,0.015332399890614315,0.0018860324082018431,0.003211585860644065
V1_workforce,hgb,0.058077463234242746,0.05103641633064514,0.014441160936427578,0.00011907091841112383,0.03434420175231637,0.0016252694427761893,0.013143177333562095,0.02266090827685309,0.0006522257850034204,0.012254775795012551,0.00033211168067945145,0.025313579111616302,0.0015569257070750186,0.0022533660239361397
V3_drop,logreg,0.007969473876115352,0.03381612965783002,0.003421342370167032,0.0010201291180507387,0.0359822507363876,0.0008043067947837823,0.008080780999771216,0.09878898206932052,0.0028573445721802983,0.019581988353637603,0.00045698031056968055,0.012784121375257373,0.0058685128188629586,0.0029034134780370497
V3_drop,rf,0.015657116417152835,0.033857584970544516,0.006545091226263988,0.004051282154398301,0.014297569831703277,0.000614669126058113,0.009187987499285066,0.04682065343671353,0.0005645563443719803,0.014573938583133161,0.00020543336050101355,0.016618385917124234,0.002038146930765309,0.0036279263362216873
V3_drop,hgb,0.058135518545527363,0.052627737324124936,0.014139221931480228,2.760336235989592e-05,0.03440231291823956,0.001874615720086951,0.013179404652110493,0.022900401795927734,0.0005556419440631676,0.01268321438529516,0.00048154518059367505,0.02573007598018189,0.0020940127402196457,0.002239871543268131
V3_impute,logreg,0.006859262397048742,0.034146252913377965,0.00344973886839397,0.0010492405556508841,0.03930796996539694,0.0008144053134294005,0.008320911261725007,0.12959967416638069,0.0025345271033516545,0.016920760588252128,0.0007069409889041516,0.01244186649222147,0.00568968860815607,0.0027474226435598493
V3_impute,rf,0.016061492829158044,0.0343706321672672,0.0067697609242736,0.004724352890499883,0.015514083858813713,0.0007216866134751143,0.009387031089138593,0.04756945189172954,0.0005753251186799257,0.012610558671499628,0.0003967466683824897,0.015579165683625,0.00223173910789863,0.0032986073874684925
V3_impute,hgb,0.06048687594729457,0.052992077131234196,0.014522630512182486,3.4931490934527367e-05,0.03459191707418204,0.0016998912398478027,0.01346336963437993,0.024717811195235594,0.0004716589095743906,0.011416565234643064,0.0006501591633778651,0.022928440824468047,0.0015015625893673706,0.002465043933024454
V4_dedup,logreg,0.008159200912262602,0.03406924053777742,0.003438724333676535,0.0007727824367993538,0.036295505891100435,0.0008104508050217118,0.007954571858556362,0.12364000657744226,0.002505929528425987,0.020041403926446995,0.0005074729037977419,0.011728356997826594,0.0058304199553877705,0.00296755694492105
V4_dedup,rf,0.015619637954701431,0.03388413826570007,0.006466336185941413,0.004380064898621564,0.013501473668782862,0.0006776843292438883,0.009113410385924243,0.048315792742650424,0.0006042354795812906,0.014867745152711031,0.00026586807938682914,0.015935652328557474,0.001994904269617918,0.003270936999542403
V4_dedup,hgb,0.060285620513755446,0.05287691603752005,0.014104971867135663,8.009555164726718e-06,0.03289770066560855,0.0014606658230382097,0.012420999199267875,0.02821788626386982,0.00045423226235417793,0.012492001615762988,0.0006005825862216874,0.019577341247712172,0.001422796378117101,0.0025695032779970094
V5_uniform,logreg,0.008100955695207057,0.034195270944148926,0.00347451598604438,0.0007622817647563674,0.03719737956846257,0.0007986096216540414,0.008051088673930444,0.11402168143016471,0.0027649386582017767,0.019877079579901622,0.0004820925560512279,0.011852577713909854,0.005491717427362179,0.0028750393216655213
