variant,outcome,mean,sd,min,max,n,cohen_d,wilcoxon_p,model
V3_drop,d_common_auc,0.00012153969343398814,0.0007052748505136904,-0.0010799494359129413,0.0015122643381092482,15,0.17232954407131365,0.52447509765625,
V3_drop,d_common_auc,-4.262826012353393e-05,0.0002789956202343865,-0.00032607937971862455,0.0003304360415237184,5,,,logreg
V3_drop,d_common_auc,-0.00014323363503776498,0.0007736769885375299,-0.0010799494359129413,0.0008904346473919134,5,,,rf
V3_drop,d_common_auc,0.0005504809754632633,0.0008445242407057749,-0.0008103390957447942,0.0015122643381092482,5,,,hgb
V3_drop,d_common_ece,0.0008584161480586692,0.002353131537438809,-0.0022563244640125234,0.005195000132208066,15,0.36479734957484994,0.25238037109375,
V3_drop,d_common_ece,0.00042337340152755616,0.0021432526862329247,-0.001609287335239358,0.002996309132410802,5,,,logreg
V3_drop,d_common_ece,0.002155972640584094,0.0030338585097980995,-0.0022563244640125234,0.005195000132208066,5,,,rf
V3_drop,d_common_ece,-4.0975979356421e-06,0.0015203329646499397,-0.0017674836107199523,0.0020914295865614267,5,,,hgb
V3_drop,d_sex_dp_diff,-0.0022815494033974,0.004229201802803685,-0.011624052195380041,0.005219538000352658,15,-0.5394751798991672,0.072998046875,
V3_drop,d_sex_dp_diff,-0.0021837418444718704,0.002794313912814825,-0.006369247046376314,0.0011214953271028172,5,,,logreg
V3_drop,d_sex_dp_diff,-0.0009719626168224249,0.004918725291934449,-0.007095750308587556,0.005219538000352658,5,,,rf
V3_drop,d_sex_dp_diff,-0.0036889437488979047,0.005095860131291842,-0.011624052195380041,0.0014882736730735535,5,,,hgb
V3_drop,d_sex_tpr_gap,-0.010934367002518309,0.012867842027497049,-0.04182817747682088,0.013515815002282272,15,-0.8497436461492818,0.00335693359375,
V3_drop,d_sex_tpr_gap,-0.007488197505296656,0.004029068955667332,-0.01292313561458125,-0.0018257250103889122,5,,,logreg
V3_drop,d_sex_tpr_gap,-0.005415863370370077,0.011159076812272174,-0.01602959309494445,0.013515815002282272,5,,,rf
V3_drop,d_sex_tpr_gap,-0.01989904013188819,0.01689399890588014,-0.04182817747682088,-0.0005926793877008008,5,,,hgb
V3_drop,d_race_tpr_gap,-0.0314571150097466,0.026427531642149747,-0.0754385964912282,0.016739766081871443,15,-1.1903160475106604,0.0014632771410400872,
V3_drop,d_race_tpr_gap,-0.030891812865497047,0.018625624844777276,-0.06337719298245614,-0.018932748538011634,5,,,logreg
V3_drop,d_race_tpr_gap,-0.007733918128654949,0.01649055409016357,-0.02331871345029246,0.016739766081871443,5,,,rf
V3_drop,d_race_tpr_gap,-0.0557456140350878,0.019603499643768545,-0.0754385964912282,-0.02331871345029246,5,,,hgb
V3_drop,churn_vs_base,0.013366666666666666,0.006976917725785575,0.00625,0.02475,15,1.9158412341979607,,
V3_drop,churn_vs_base,0.0072,0.0006708203932499368,0.00625,0.00775,5,,,logreg
V3_drop,churn_vs_base,0.01055,0.001840516231930596,0.0085,0.01275,5,,,rf
V3_drop,churn_vs_base,0.02235,0.002864655302126243,0.0175,0.02475,5,,,hgb
V3_impute,d_common_acc,-0.0005833333333333135,0.001493039405597402,-0.0030000000000000027,0.0020000000000000018,15,-0.3907019005301521,0.1669396961376921,
V3_impute,d_common_acc,-0.001049999999999951,0.0013509256086106061,-0.002749999999999919,0.0007500000000000284,5,,,logreg
V3_impute,d_common_acc,-0.00040000000000000034,0.0010093314619093218,-0.0020000000000000018,0.0007500000000000284,5,,,rf
V3_impute,d_common_acc,-0.0002999999999999892,0.002131607374729226,-0.0030000000000000027,0.0020000000000000018,5,,,hgb
V3_impute,d_common_auc,-0.0001569180214768225,0.00033357314487929453,-0.000577760380919834,0.0004209205559366769,15,-0.4704156311312298,0.083251953125,
V3_impute,d_common_auc,-0.000405370624571022,5.298338154871946e-05,-0.00047688690374059206,-0.0003532247340425343,5,,,logreg
V3_impute,d_common_auc,-0.00017761775051481355,0.00034812926828383544,-0.000577760380919834,0.0002687725205902103,5,,,rf
V3_impute,d_common_auc,0.00011223431065536804,0.0003117647085010346,-0.00037618099047709297,0.0004209205559366769,5,,,hgb
V3_impute,d_common_ece,0.0015479845247142571,0.002226853347075916,-0.0013154125962011876,0.0055859470512070585,15,0.6951443509950566,0.01806640625,
V3_impute,d_common_ece,0.0030917595749126504,0.002343891021567641,7.772249960900923e-05,0.0055859470512070585,5,,,logreg
V3_impute,d_common_ece,0.0003069368349744618,0.0011869624281126625,-0.0013154125962011876,0.0015359655980145479,5,,,rf
V3_impute,d_common_ece,0.0012452571642556603,0.0023312024129968903,-0.0010212141715370913,0.004851503601758742,5,,,hgb
V3_impute,d_sex_dp_diff,-0.0020647739963557325,0.0020422684633274206,-0.005579262916593192,0.000782930700052864,15,-1.0110198700280786,0.00262451171875,
V3_impute,d_sex_dp_diff,-0.003773584905660393,0.001438657615151901,-0.005579262916593192,-0.0018268383001234512,5,,,logreg
