variant,model,seed,d_common_acc,d_common_auc,d_common_ece,d_sex_dp_diff,d_sex_tpr_gap,d_race_dp_diff,d_race_tpr_gap,churn_vs_base
C1_nowindow,logreg,0,-0.004666666666666597,0.0030680398773499373,0.005361733602235352,-0.03901117682711397,-0.040707287201469766,-0.014095340845520665,-0.011520680362926194,0.043333333333333335
C1_nowindow,logreg,1,-0.0013333333333332975,0.003562653782810732,0.00922595961856728,-0.04744191123456398,-0.05116350275566439,-0.010858706944777419,-0.011520680362926139,0.04666666666666667
C1_nowindow,logreg,2,0.004666666666666708,0.0006989109533682702,0.012809098973326813,-0.0023640526123787087,0.022458665033680436,0.014894509709901693,0.021335508912457612,0.034
C1_nowindow,logreg,3,-0.0020000000000000018,0.003784871624394448,0.0026107728849817727,-0.05725718192289686,-0.06503368034292711,-0.006353392471829311,0.0008282034166480767,0.042
C1_nowindow,logreg,4,-0.0013333333333332975,0.0036898914179110953,0.011284524181292655,-0.025634028569705092,-0.016166564605021416,0.002027890993366893,0.00802244802096469,0.036
C1_nowindow,rf,0,0.004666666666666708,-0.005070688570655513,-0.00814345285980047,-0.009596962063131431,-0.00032149418248611505,-0.0063733716934388784,0.009703577344310044,0.07266666666666667
C1_nowindow,rf,1,-0.0006666666666667043,0.0023243269397915656,0.0038821716687714863,-0.0007152479957257263,0.006720759338640636,5.9937664828590975e-05,0.01929590348339888,0.09533333333333334
C1_nowindow,rf,2,-0.0013333333333334085,4.5698023873996796e-05,-0.01040901774344349,-0.0305804424196639,-0.03190447030006127,-0.010858706944777474,0.023486365546737886,0.08266666666666667
C1_nowindow,rf,3,0.0020000000000000018,-0.0075545105741642304,-0.009544468731974762,-0.050133426784744806,-0.04545315370483771,-0.002557340366019345,0.0254147197705753,0.05533333333333333
C1_nowindow,rf,4,-0.002666666666666706,-0.0019641189869016307,0.009768605767901745,-0.05882842952796502,-0.1014696876913656,-0.019929273555502336,0.007305495809537987,0.064
C1_nowindow,hgb,0,0.0086666666666666,0.005049183618244024,-0.016663009321630902,0.012164960891158788,-0.009445805266380947,-0.03337528969871331,-0.010086775940072679,0.11266666666666666
C1_nowindow,hgb,1,0.014666666666666606,0.01082953561847344,-0.011065203196370242,-0.02499633758556405,-0.031582976117575046,0.01815112283225445,0.041595589507775144,0.096
C1_nowindow,hgb,2,0.02066666666666661,0.011276659420692448,-0.008362179248294146,0.014606570515122153,-0.001867728107777189,0.031057699992008275,0.028529753516774226,0.11266666666666666
C1_nowindow,hgb,3,0.0020000000000000018,0.004343104347405369,-0.008625255428001376,-0.003639434580660711,0.008374157991426823,-0.015403979860944605,-0.007799945610521775,0.07266666666666667
C1_nowindow,hgb,4,-0.004666666666666708,0.007487307597878856,-0.0065058098985596585,-0.043957590677072694,-0.06690140845070414,-0.010838727723167907,-0.013560285791984927,0.10466666666666667
C2_isrecid,logreg,0,-0.014000000000000012,0.008745333800295518,-0.006814601737505428,0.07060273287928964,0.04550868393931423,0.0307879805002797,0.026652766358102042,0.07933333333333334
C2_isrecid,logreg,1,-0.007999999999999896,0.008692294357097952,-0.008878335723177852,0.05063036615526911,0.017363813363105995,0.026302645248941103,0.024537008181990838,0.06533333333333333
C2_isrecid,logreg,2,-0.008000000000000007,0.006951412557308245,-0.004969150637591745,0.07408705343678101,0.05399473844185365,0.03466394949252777,0.03601804922660229,0.07733333333333334
C2_isrecid,logreg,3,-0.0033333333333332993,0.009266396733725646,-0.0011990698192767407,0.042463900083589246,0.002144850034875634,0.02822065052345557,0.026633440187703084,0.07266666666666667
C2_isrecid,logreg,4,-0.008000000000000007,0.006833445114481584,-0.0025147557317451545,0.08600210840172234,0.07850341275551925,0.03789059378246623,0.036206308638380424,0.08
C2_isrecid,rf,0,0.01533333333333331,0.013131242131587895,-0.007527344986858427,0.025820739893890526,0.04344562959002446,0.0044353871973147885,0.023629789164738013,0.07533333333333334
C2_isrecid,rf,1,0.007333333333333303,0.015603620435654886,-0.011427904752565866,0.008212425782248622,0.02244593254987176,0.019909294333892824,-0.010227288520744171,0.07933333333333334
C2_isrecid,rf,2,0.005333333333333301,0.007140839822750489,0.0003990161971108852,-0.03761227813667847,-0.03656552359277898,0.007682010708862708,0.0005345298823676292,0.08933333333333333
C2_isrecid,rf,3,0.0033333333333332993,0.008934561476883207,-0.015712029505225437,0.02597585391705992,0.02333309732301453,-0.0020978182690001845,-0.003861971274567666,0.07533333333333334
C2_isrecid,rf,4,0.011333333333333306,0.007826290835580951,0.020324503823322373,0.02949177177556722,-0.006533513184111994,0.021877247662431043,0.010638098526741468,0.07533333333333334
C2_isrecid,hgb,0,0.004666666666666597,0.0076236267601546,0.0005139872822438191,0.044813590286415184,0.028612683713855724,-0.005843922320786288,-0.029129748958272916,0.07933333333333334
C2_isrecid,hgb,1,0.013333333333333308,0.008178011201898872,-0.0025184878570886984,0.02552487425710437,0.06629364301327256,0.01985934627986896,0.01194122770453232,0.104
C2_isrecid,hgb,2,0.01200000000000001,0.008296110276468038,0.00814345727779573,0.014885201260445041,0.013047013453977407,0.034054583233437186,0.01891017339628348,0.11466666666666667
C2_isrecid,hgb,3,-0.004666666666666708,0.005578627590979934,0.007218703541451085,0.040924249779537014,0.07777763719699926,-0.004655158635019585,-0.034452795302860106,0.086
C2_isrecid,hgb,4,0.0006666666666665932,0.00436627508181775,-0.0046553598216157455,0.051563922776196314,0.06676365582663168,0.04375449532486214,0.02523430483556416,0.10466666666666667
C3_uniform,logreg,0,-0.002666666666666595,0.00193186155828462,0.0011918102290379151,-0.012179323300711531,-0.010670545009185628,0.0019679533285383577,0.011384706667655509,0.017333333333333333
