variant,model,common_acc_mean,common_acc_std,common_auc_mean,common_auc_std,common_ece_mean,common_ece_std,sex_dp_diff_mean,sex_dp_diff_std,sex_tpr_gap_mean,sex_tpr_gap_std,race_dp_diff_mean,race_dp_diff_std,race_tpr_gap_mean,race_tpr_gap_std,own_acc_mean,own_acc_std,own_auc_mean,own_auc_std,own_ece_mean,own_ece_std,common_posrate_pred_mean,common_posrate_pred_std,n_train_mean,n_train_std,pos_rate_train_mean,pos_rate_train_std
V0,hgb,0.8702,0.0014404860290887893,0.92488642517802,0.0008882974747462375,0.012990452091461777,0.001437270867816923,0.16341385998941987,0.004130227310680549,0.058365976115701934,0.01352304747233003,0.13919701598845383,0.004549564849186581,0.07627192982456144,0.023754981892231568,0.8749024417437841,0.003974923284641736,0.9289320552494734,0.0020706671463256534,0.010334588554743559,0.003733910744004152,0.20800000000000002,0.001500000000000002,35873.0,0.0,0.2385080701363142,0.0
V0,logreg,0.8522000000000001,0.0012796483892069661,0.9049425322795127,0.0001235194082079475,0.013665653023462714,0.002082234635839223,0.16349850114618233,0.0013854020538189044,0.052057687460402936,0.0035176223612488487,0.1385291122315733,0.0038616447740852104,0.08415204678362571,0.011474326513607275,0.8517783476418777,0.0034837551251780735,0.9064430019911878,0.0020513840113740895,0.010884021526027016,0.003640747761547218,0.207,0.0008291561975888449,35873.0,0.0,0.2385080701363142,0.0
V0,rf,0.8606999999999999,0.000596866819315637,0.9146965283437714,0.00018660859861277136,0.029539663364866065,0.0018800749862050233,0.15515570446129429,0.0025768747684941653,0.06378047700472096,0.005299935557545994,0.12477398111875442,0.003966631099769414,0.09590643274853802,0.01590487729430387,0.864042814137585,0.003705096400325067,0.9173149629313242,0.002140005895333202,0.024933467111325762,0.001495147370916812,0.1901,0.0022953757862276022,35873.0,0.0,0.2385080701363142,0.0
V1_workforce,hgb,0.87055,0.0009905806378079694,0.9253177011839396,0.0010963730339564937,0.012081459004705744,0.0031081193132956016,0.16400211602891906,0.002941494160663533,0.053343869855781365,0.006665148199036974,0.1343870467907506,0.004616297900935353,0.033581871345029234,0.019013198646001164,0.8713554682851363,0.003106694628634212,0.9285042370714038,0.003327671184543999,0.010315132745962652,0.003567025620695744,0.20945,0.001671451465044682,33609.0,0.0,0.2482073254187866,0.0
V1_workforce,logreg,0.8523,0.0013038404810405016,0.904804794740906,9.053805696402464e-05,0.012669433165520178,0.001490503750810842,0.16530982190089932,0.0036364052572518285,0.06028571233931237,0.00868038381780544,0.13544888255765278,0.002642493256228578,0.08305555555555558,0.009439226465784007,0.8480542663334523,0.0035396771318658904,0.905551934840485,0.004155419863251882,0.011127595220361105,0.002317618833118797,0.2064,0.0021621748310439695,33609.0,0.0,0.2482073254187866,0.0
V1_workforce,rf,0.86195,0.0013851895177195235,0.914848039636239,0.0005465992330170231,0.03122704070290384,0.000933113787034383,0.1552248280726503,0.002116070063668638,0.05900497986933799,0.010452270822593531,0.12218733794430596,0.0011311889371671635,0.07653508771929822,0.01589227351290929,0.8607164108056647,0.0030741580995543956,0.9170253653604217,0.0034833763071734835,0.026603127516934222,0.0012781603693918652,0.19075,0.0014031215200402305,33609.0,0.0,0.2482073254187866,0.0
V3_drop,hgb,0.87065,0.0017102631376487139,0.9254369061534831,0.0005245108291735514,0.012986354493526133,0.0022037443962803866,0.15972491624052196,0.00713190344134476,0.038466935983813746,0.014561945786043636,0.13294908561538993,0.006777262440406506,0.020526315789473636,0.01847821065949954,0.8701030927835053,0.0037016961702927348,0.9271217517346733,0.0016179150353975802,0.007881520733714899,0.0039383047203535426,0.20825,0.0033071891388307497,32977.0,0.0,0.24783940322042636,0.0
V3_drop,logreg,0.8528,0.0004808846015418067,0.9048999040193891,0.00020666203272426547,0.014089026424990273,0.0006158510752228123,0.16131475930171046,0.0014253915228747676,0.044569489955106276,0.003616780464310916,0.1308425958901114,0.0029704903096494277,0.05326023391812866,0.020514944222665615,0.8497998787143723,0.003881708569645528,0.9060008274216566,0.003603892631299366,0.011412309780426337,0.0020359121089341585,0.2072,0.0012424773639789196,32977.0,0.0,0.24783940322042636,0.0
V3_drop,rf,0.86025,0.0011039701082909772,0.9145532947087338,0.0007353587729081744,0.031695636005450153,0.0013726907939832572,0.15418374184447187,0.002767923463281825,0.05836461363435088,0.00731292525546956,0.12205706859602757,0.0023566747481548224,0.08817251461988307,0.011849931534147175,0.859963614311704,0.004351602570736524,0.9161938666935633,0.00334209205238319,0.025481739470639968,0.005407103010006253,0.18945,0.002314357362206628,32977.0,0.0,0.24783940322042636,0.0
V3_impute,hgb,0.8699,0.0009778803607803893,0.9249986594886753,0.000797643458065327,0.014235709255717438,0.0017525487228028794,0.1627621230823488,0.004900313133620942,0.07124142488299692,0.02206683172825749,0.13581219970884645,0.004346480270385257,0.061023391812865535,0.017408898527955123,0.8741888727840339,0.0033042843798093196,0.9285423875225284,0.0017221989693467455,0.010000329875222824,0.0036784818750774445,0.20529999999999998,0.0024070209803821814,35873.0,0.0,0.2385080701363142,0.0
V3_impute,logreg,0.85115,0.000487339717240454,0.9045371616549417,0.00010505469098417167,0.016757412598375366,0.0019893598729034696,0.15972491624052193,0.000685345148610198,0.0625569687514902,0.003321795477716933,0.1356250741941732,0.0008832941820947265,0.07192982456140354,0.0015506727657599781,0.8504404058423459,0.003163005592863779,0.9050293749833156,0.0018873641382340363,0.009976310556662222,0.003950416587312296,0.20024999999999998,0.0007500000000000019,35873.0,0.0,0.2385080701363142,0.0
V3_impute,rf,0.8603,0.0015751984002023017,0.9145189105932566,0.00019111178422764186,0.029846600199840527,0.0016937310542276976,0.15338670428495854,0.0020698096952155064,0.06669209965188602,0.002799909121481723,0.11868693495279689,0.0042163450265562665,0.08225146198830412,0.01955251537600243,0.8641989073475305,0.002986530323554229,0.9170309876469689,0.0021644445450425907,0.02455560857361517,0.001415993885637108,0.1862,0.0021462176031334795,35873.0,0.0,0.2385080701363142,0.0
V4_dedup,hgb,0.86945,0.0022248595461287625,0.9251302977007549,0.00042022485090132484,0.01241800333194495,0.0008239981359770233,0.16019044260271556,0.004413052026404762,0.04937904912426509,0.02292617930550499,0.13380661405909292,0.0025321977125572206,0.044122807017543855,0.010907819197578942,0.8747991071428572,0.002723991765478177,0.9290590490404262,0.0005854974091986743,0.008394792654949735,0.0021535216213560437,0.20675,0.00108972473588517,35840.0,0.0,0.2386439732142857,0.0
V4_dedup,logreg,0.8522000000000001,0.0014512925273700028,0.9050149869166095,0.00017976279979971932,0.01236028282436299,0.0013566327199163867,0.16312608005642742,0.0032511621181785296,0.0537744139627089,0.009027109369373414,0.13752663180321517,0.005579808636564064,0.07861111111111115,0.021974831982412145,0.8518080357142856,0.0031816845584476047,0.9067750665801146,0.001336085318275601,0.01073578011435507,0.0019593596303192316,0.20659999999999998,0.000762397534098841,35840.0,0.0,0.2386439732142857,0.0
V4_dedup,rf,0.85975,0.0010897247358851773,0.9143776542124227,0.0005286345622606808,0.03141147956749246,0.0014504789375077117,0.15388185505201904,0.0038202628241570413,0.05467501413574396,0.009968477974168138,0.12532629816373325,0.001973400611430153,0.09283625730994155,0.01398913499409842,0.8638169642857143,0.0033864998594170335,0.9174137955149233,0.0008930044684489317,0.025214122854293385,0.0011845597188347519,0.18955,0.0022940139493908994,35840.0,0.0,0.2386439732142857,0.0
V5_hist,hgb,0.86785,0.002004682019672926,0.9246873592463111,0.0009790601026940988,0.01362849186098573,0.0010647392659458184,0.1627042849585611,0.002605851406273686,0.04485969848287703,0.01107623702458846,0.13809175710545882,0.0015999589830603391,0.045160818713450276,0.021695716787210443,0.8725778431110518,0.000822433090010139,0.9261536403896727,0.00030525583298994155,0.006743581174001106,0.0013866915026289328,0.21145,0.002057000243072423,29876.0,0.0,0.2399584951131343,0.0
V5_hist,logreg,0.85275,0.0,0.9044379638169184,0.0,0.013841344671773028,0.0,0.16055722094868632,0.0,0.04445095407756616,0.0,0.12998506744640836,0.0,0.045029239766081974,0.0,0.8525992249097956,0.0,0.9056282079378363,0.0,0.007606037737313322,0.0,0.20774999999999996,0.0,29876.0,0.0,0.2399584951131343,0.0
V5_hist,rf,0.8618500000000001,0.0006274950199005113,0.914474238053363,0.0001091375954073108,0.03140376929788185,0.0010407186196483278,0.15964309645565156,0.0017209833744664712,0.0736448419862253,0.009461385315099454,0.12528162546156588,0.0019853979736513603,0.08135964912280702,0.005119569092074036,0.8664172123479889,0.00045170235951236335,0.9154789148741219,0.00012755724002274187,0.027253989678988115,0.0004715875996384696,0.19295,0.0017084349563269883,29876.0,0.0,0.2399584951131343,0.0
V5_uniform,hgb,0.8690999999999999,0.00204328167417023,0.9251464173494337,0.0007817504494888048,0.013715581106627206,0.003058541354178506,0.16439851877975667,0.00586498853255028,0.055278593374253206,0.02248334952326236,0.1318884994345623,0.006468683323262109,0.03523391812865497,0.027070382465960687,0.8721596610547442,0.0023288878893586154,0.9285491009723776,0.0022784256509472524,0.008729656299183236,0.0015405525361906246,0.20729999999999998,0.002307596151842866,35873.0,0.0,0.2380063000027876,0.001222265284107485
V5_uniform,logreg,0.852,0.001457737973711341,0.905147764563315,0.00022128399588085707,0.014227290960178916,0.0018644908097877686,0.16358032093105274,0.0037599729447174565,0.05254136834002086,0.010066844466200146,0.13836947761054152,0.004312616600325112,0.07773391812865496,0.01257358815179575,0.8507079942022522,0.002436366750296826,0.9068045043275317,0.0025268075029649555,0.01190572348899245,0.0012017404400931206,0.20629999999999998,0.0014620191517213457,35873.0,0.0,0.2380063000027876,0.001222265284107485
V5_uniform,rf,0.8609,0.0011805718953117527,0.9147316832532602,0.000664694864872806,0.031560165443325294,0.0013049474524939946,0.15448986069476284,0.0031561611512240994,0.06266596725957312,0.009308777308874671,0.12320512580207806,0.0025426722501852316,0.09305555555555559,0.01416705516700352,0.8631508529378973,0.0017533476441795788,0.9175202845893212,0.0021301057734830903,0.025716089421625538,0.0031002878223879778,0.1889,0.002322444832498718,35873.0,0.0,0.2380063000027876,0.001222265284107485
