variant,model,seed,d_common_acc,d_common_auc,d_common_ece,d_sex_dp_diff,d_sex_tpr_gap,d_race_dp_diff,d_race_tpr_gap,d_own_acc,d_own_auc,d_own_ece,d_common_posrate_pred,churn_vs_base,abs_d_common_acc
V1_workforce,logreg,0,-0.0010000000000000009,-0.00015516418582706137,-0.005213276852049467,0.008619291130312151,0.019681043115722274,-0.0021805277001993306,0.005482456140350922,-0.00614254286721827,-0.00019079469201344068,0.005806579497094132,0.003500000000000003,0.009,0.0010000000000000009
V1_workforce,logreg,1,0.0022499999999999742,-7.640914550444133e-05,0.002391330105834295,-0.0011073884676423562,0.0,-0.005593459666485473,-0.02331871345029235,-0.002072684621034715,0.003326830594287178,0.004721948891458596,-0.002250000000000002,0.00775,0.0022499999999999742
V1_workforce,logreg,2,0.0012499999999999734,-0.0003254091240563195,1.0401624213854377e-05,-0.0026168224299065734,-0.0012330456226881115,-0.007991102947148804,-0.0010964912280702066,-0.0029981487665337037,0.0006879365292672412,0.0008064254224369877,-0.0017500000000000016,0.00375,0.0012499999999999734
V1_workforce,logreg,3,0.000500000000000056,6.400941575157582e-05,0.00069182446823602,0.0026520895785575593,0.009816678134218049,0.0066118723172949034,0.020029239766081952,-0.004370177325585756,-0.0023245617658442796,-0.004724202770531311,-0.0020000000000000018,0.007,0.000500000000000056
V1_workforce,logreg,4,-0.0024999999999999467,-0.00019571465339740524,-0.0028613786359473915,0.0015094339622641617,0.012875448767294961,-0.006247930373063926,-0.006578947368421018,-0.003036852961753933,-0.005954746419210788,-0.005392882568787963,-0.0005000000000000004,0.0065,0.0024999999999999467
V1_workforce,rf,0,0.00275000000000003,0.00045879000085780053,-0.002096460922846752,0.0018550520190442898,4.7686847286287914e-05,-0.002180527700199303,-0.011257309941520521,0.0010849912415339391,0.0024825739500106137,0.0033946069001014947,0.0027500000000000024,0.01225,0.00275000000000003
V1_workforce,rf,1,0.0025000000000000577,7.43983785176372e-05,0.003948629837367983,0.004119202962440477,0.004339503103051312,-0.006321343554947442,-0.037865497076023436,-0.005418122933573133,0.001305973844095587,0.0005903814019241546,0.0020000000000000018,0.012,0.0025000000000000577
V1_workforce,rf,2,0.0012499999999999734,-0.00032306322923802977,0.0010050961298900991,-0.0015164873919943644,-0.027624309392265234,-0.0015260569936208501,-0.018932748538011746,-0.005837526741155674,0.001159794396371483,0.0030758031015445733,0.0012500000000000011,0.01125,0.0012499999999999734
V1_workforce,rf,3,-0.0012499999999999734,0.0010626903526079756,0.0019071384446742862,-0.0007688238405924863,0.0012330456226880004,0.0020337013364323253,-0.021125730994152048,-0.0032321253789829862,-0.0019550170779808473,0.0028435808878530394,0.0017500000000000016,0.00875,0.0012499999999999734
V1_workforce,rf,4,0.0010000000000000009,-0.000515259040408389,0.0036724832011032597,-0.003343325692117788,-0.0018734118576752001,-0.004938988959907034,-0.007675438596491224,-0.003229232847423824,-0.004441312967009559,-0.0015560702633809625,-0.004500000000000004,0.0085,0.0010000000000000009
