variant,outcome,mean,sd,min,max,n,cohen_d,wilcoxon_p,model
T25,d_sex_tpr_gap,-0.16482533523249193,0.02005601264591221,-0.1939198335911822,-0.14236161656210455,5,,,rf
T25,d_sex_tpr_gap,-0.10632429498668916,0.014921612014121023,-0.12187494467340043,-0.08161582065418782,5,,,hgb
T25,d_race_tpr_gap,-0.16303862930924107,0.04223199773359171,-0.23887047989835675,-0.099551900416042,15,-3.860547406204246,6.103515625e-05,
T25,d_race_tpr_gap,-0.17160469383894147,0.06183939890497765,-0.23887047989835675,-0.099551900416042,5,,,logreg
T25,d_race_tpr_gap,-0.16351467337119074,0.02318204166769727,-0.18692080146483359,-0.13095946404131054,5,,,rf
T25,d_race_tpr_gap,-0.153996520717591,0.041069120298706824,-0.21258176935321438,-0.11193121007721696,5,,,hgb
T25,churn_vs_base,0.3984,0.05522783977048429,0.35633333333333334,0.478,15,7.213753093651131,,
T25,churn_vs_base,0.36186666666666667,0.0034848880103160334,0.357,0.36466666666666664,5,,,logreg
T25,churn_vs_base,0.4737333333333333,0.0030677534306249392,0.4706666666666667,0.478,5,,,rf
T25,churn_vs_base,0.35960000000000003,0.0031304951684997086,0.35633333333333334,0.36433333333333334,5,,,hgb
T85,d_common_acc,0.055444444444444414,0.0060744934685511435,0.04566666666666663,0.06433333333333324,15,9.127418562797258,0.0006533107814151376,
T85,d_common_acc,0.06033333333333328,0.002041241452319303,0.05833333333333335,0.06299999999999994,5,,,logreg
T85,d_common_acc,0.04846666666666668,0.0017888543819998602,0.04566666666666663,0.05033333333333334,5,,,rf
T85,d_common_acc,0.057533333333333284,0.00505854612402502,0.052999999999999936,0.06433333333333324,5,,,hgb
T85,d_common_auc,0.002280445307778726,0.004130498695942172,-0.005626139109219386,0.007136659398052192,15,0.5520992683084611,0.04791259765625,
T85,d_common_auc,0.004553981796993001,0.0012844743258382772,0.0028061598313675606,0.006409065503112821,5,,,logreg
T85,d_common_auc,0.005343588928335907,0.0010661050598208116,0.004291795896121275,0.007136659398052192,5,,,rf
T85,d_common_auc,-0.0030562348019927297,0.001771199981747599,-0.005626139109219386,-0.0007910904811505581,5,,,hgb
T85,d_common_ece,-0.01202274891167131,0.012988570900325217,-0.02986050102149765,0.00686929487818997,15,-0.9256406269738479,0.0042724609375,
T85,d_common_ece,-0.005754095015130636,0.004587761980848444,-0.0101081168336188,0.00043251069038828874,5,,,logreg
T85,d_common_ece,-0.028115662025027417,0.0022477853052073364,-0.02986050102149765,-0.025050856090520546,5,,,rf
T85,d_common_ece,-0.0021984896948558695,0.008418306314734851,-0.014067824697545287,0.00686929487818997,5,,,hgb
T85,d_sex_dp_diff,-0.1030976220275344,0.05050953655572046,-0.1925987029241097,-0.0514136989418591,15,-2.0411516132958476,6.103515625e-05,
T85,d_sex_dp_diff,-0.05754707589031742,0.004039772809132174,-0.0627524462396177,-0.0514136989418591,5,,,logreg
T85,d_sex_dp_diff,-0.16967658436682215,0.013958193159050279,-0.1925987029241097,-0.15794956764136991,5,,,rf
T85,d_sex_dp_diff,-0.08206920582546365,0.005553342301252406,-0.08872240869268402,-0.07673654568210267,5,,,hgb
T85,d_sex_tpr_gap,0.05234854903297754,0.06841371984526125,-0.07408283313442249,0.1377036794809482,15,0.7651761832477454,0.01507568359375,
T85,d_sex_tpr_gap,0.11545768141635908,0.01512745909803425,0.09670768936592072,0.1377036794809482,5,,,logreg
T85,d_sex_tpr_gap,-0.03416703345695368,0.027903027894133625,-0.07408283313442249,-0.007212725589328811,5,,,rf
T85,d_sex_tpr_gap,0.07575499913952718,0.018832089591307766,0.047138028257798115,0.0972685196325046,5,,,hgb
T85,d_race_tpr_gap,-0.1127419113737867,0.08722659867736675,-0.25119504930807923,0.005465066921633066,15,-1.2925175701370157,0.0001220703125,
T85,d_race_tpr_gap,-0.21628583173626764,0.04366596569574746,-0.25119504930807923,-0.1659791528289567,5,,,logreg
T85,d_race_tpr_gap,-0.05261415317445881,0.04471743105621575,-0.10859030930190254,-0.014936406468362612,5,,,rf
T85,d_race_tpr_gap,-0.06932574921063354,0.04945953648803708,-0.1145840648810556,0.005465066921633066,5,,,hgb
T85,churn_vs_base,0.24500000000000002,0.01181873680570558,0.23333333333333334,0.263,15,20.729795749552906,,
T85,churn_vs_base,0.23513333333333333,0.0019235384061671353,0.23333333333333334,0.23833333333333334,5,,,logreg
T85,churn_vs_base,0.2608666666666667,0.0014452988925785914,0.25966666666666666,0.263,5,,,rf
T85,churn_vs_base,0.23899999999999996,0.0013123346456686352,0.23766666666666666,0.241,5,,,hgb
