case,variant,model,seed,n_train,n_owntest,pos_rate_train,fit_seconds,own_acc,own_auc,own_ece,common_acc,common_auc,common_ece,common_posrate_pred,sex_dp_diff,sex_tpr_gap,race_dp_diff,race_tpr_gap
acs,T25,hgb,0,15135,3784,0.6586719524281467,16.68,0.8250528541226215,0.8902382360395371,0.017629333404732366,0.8343333333333334,0.8967950841922889,0.010843926853835627,0.7143333333333334,0.10752432017294344,0.03956078526885154,0.050997075659532154,0.09285476902625456
acs,T25,hgb,1,15135,3784,0.6586719524281467,43.2,0.8340380549682875,0.8979691669689758,0.014497462151202362,0.8373333333333334,0.8960458267131873,0.021342169998492547,0.71,0.12821424507907608,0.058000091333932025,0.08800242658038826,0.15111332668660693
acs,T25,hgb,2,15135,3784,0.6586719524281467,19.46,0.8382663847780126,0.8969485635768203,0.023544677996267853,0.8336666666666667,0.8963215275171856,0.022986764785706312,0.713,0.12219820229832745,0.055066242471293325,0.06911865355898461,0.15054835493519447
acs,T25,hgb,3,15135,3784,0.6586719524281467,7.31,0.8324524312896406,0.8941142616123918,0.015339118529821895,0.8373333333333334,0.8975460881923207,0.017380597643360456,0.7133333333333334,0.12686312435999536,0.05038791550596455,0.0698808486809358,0.12452642073778664
acs,T25,hgb,4,15135,3784,0.6586719524281467,7.79,0.8350951374207188,0.8988259333893226,0.013447561842761606,0.8416666666666667,0.8975892522095985,0.016107249123039166,0.715,0.12752090681533734,0.04843438418096302,0.05252146590343454,0.13187105350614825
acs,T25,logreg,0,15135,3784,0.6586719524281467,0.31,0.8216173361522199,0.8819418734377251,0.014953230266054348,0.8316666666666667,0.8851083641386359,0.012969276270129488,0.7076666666666667,0.12756001820457397,0.05925441066780324,0.04756719761075168,0.0911598537720173
acs,T25,logreg,1,15135,3784,0.6586719524281467,0.3,0.8181818181818182,0.884019885304802,0.014444275377317024,0.8336666666666667,0.8860260361360173,0.014055875644098761,0.7063333333333334,0.12623378655137096,0.05611150858285252,0.1091727849676456,0.15167829843801928
acs,T25,logreg,2,15135,3784,0.6586719524281467,0.3,0.8258456659619451,0.8821445343365022,0.019082244113042234,0.8366666666666667,0.8851038730848151,0.018202230888461523,0.712,0.12287020707702812,0.053739870813227175,0.07254853160776509,0.12791625124626127
acs,T25,logreg,3,15135,3784,0.6586719524281467,0.67,0.8258456659619451,0.8838350834124307,0.017989676139501934,0.8346666666666667,0.8857815232057742,0.014018267766709136,0.712,0.12820357833655704,0.05911740976968627,0.0313511075161772,0.09680957128614165
acs,T25,logreg,4,15135,3784,0.6586719524281467,0.25,0.8210887949260042,0.878369761565182,0.0077689097443971395,0.8323333333333334,0.8856363124655686,0.011498149010179096,0.7083333333333334,0.12488977699396975,0.052968606497901805,0.09105120706819314,0.1528082419408442
acs,T25,rf,0,15135,3784,0.6586719524281467,3.4,0.8113107822410148,0.8808687800963081,0.08120255510917004,0.8286666666666667,0.8915123573840908,0.08752021123428164,0.7613333333333333,0.1026069518716578,0.03713130267557674,0.012047349427575904,0.032303090727816564
acs,T25,rf,1,15135,3784,0.6586719524281467,3.44,0.813953488372093,0.8862434092501577,0.08579563428910261,0.834,0.892354928981469,0.09058663948418061,0.7593333333333333,0.10795098987370577,0.035595877795198905,0.030550024888003957,0.0645397141907611
acs,T25,rf,2,15135,3784,0.6586719524281467,4.3,0.8160676532769556,0.887996387200652,0.08825177862953756,0.8296666666666667,0.8917965412897508,0.0893150874785373,0.763,0.10059804869723521,0.03671319623095304,-0.028006781981085083,-0.025955466932535698
acs,T25,rf,3,15135,3784,0.6586719524281467,5.49,0.818446088794926,0.8857051543266627,0.0877848158098196,0.832,0.8932326805004431,0.09022891596062718,0.766,0.10524874843554444,0.03587698334170564,-0.004549838227974057,0.037952808241940916
acs,T25,rf,4,15135,3784,0.6586719524281467,3.94,0.8147463002114165,0.8821841347420103,0.08531129980708937,0.829,0.891177025365472,0.08704126623893219,0.7636666666666667,0.09392777904198435,0.03063644528336351,-0.006836423593827745,0.004021269524759119
acs,T50,hgb,0,15135,3784,0.3645193260654113,14.99,0.8118393234672304,0.8850860622434226,0.014648808757349462,0.8163333333333334,0.8810744927317904,0.028009193135003867,0.35,0.20346811355102973,0.1466407726222969,0.10207192633150819,0.20478597910347152
acs,T50,hgb,1,15135,3784,0.3645193260654113,18.11,0.8073467230443975,0.8857483578295762,0.01229640103753614,0.806,0.8792907240671077,0.011009738269685702,0.35433333333333333,0.21077838775742408,0.16742599202183495,0.14669922847187658,0.32901921132457024
acs,T50,hgb,2,15135,3784,0.3645193260654113,43.31,0.7994186046511628,0.8815303505658836,0.016060017335815694,0.8143333333333334,0.8832022533632771,0.016751031528079885,0.3526666666666667,0.19545383433837749,0.13668206312548115,0.08471254355400698,0.2754971351533535
acs,T50,hgb,3,15135,3784,0.3645193260654113,30.97,0.7996828752642706,0.8782503818036812,0.012991370568926896,0.808,0.8805760162275931,0.01101407459793516,0.355,0.20810814654681986,0.1620127370704738,0.19246982329517173,0.337108190091001
acs,T50,hgb,4,15135,3784,0.3645193260654113,104.72,0.8123678646934461,0.8879173645671109,0.014455980444227466,0.8106666666666666,0.8802497755896199,0.013977892557791626,0.3576666666666667,0.20809392422346112,0.17030932885436345,0.13048313837730213,0.2744860128075497
acs,T50,logreg,0,15135,3784,0.3645193260654113,0.39,0.802061310782241,0.8749456881436577,0.016425388967350425,0.811,0.8763893413345449,0.015611074486164368,0.3506666666666667,0.18746444419160313,0.1360347120162363,0.18446677451468393,0.33003033367037404
acs,T50,logreg,1,15135,3784,0.3645193260654113,0.31,0.8121035940803383,0.883643424760176,0.020227496232121753,0.8073333333333333,0.8758894255334155,0.018024323653800946,0.347,0.18815067129366253,0.1384911470361817,0.16062873320059728,0.2512301988540613
acs,T50,logreg,2,15135,3784,0.3645193260654113,0.33,0.8089323467230444,0.8827183517538848,0.015814317031079304,0.8053333333333333,0.8768628700252501,0.015676781212935895,0.3476666666666667,0.19214714415746958,0.13546084400587866,0.16215312344449972,0.2522413211998652
acs,T50,logreg,3,15135,3784,0.3645193260654113,0.45,0.8062896405919662,0.8817845345764128,0.015998006045593084,0.8096666666666666,0.8755257631752041,0.019132293808736035,0.348,0.18214529525543288,0.1307684232626496,0.20335054753608764,0.3259858442871587
acs,T50,logreg,4,15135,3784,0.3645193260654113,0.4,0.8163319238900634,0.8860013357475286,0.012772084124861766,0.81,0.8749164608072248,0.020183554165319556,0.3436666666666667,0.18150173512344975,0.1255021345090629,0.17722592085614733,0.31890798786653185
acs,T50,rf,0,15135,3784,0.3645193260654113,3.46,0.7851479915433404,0.8687401910752164,0.09241086706835017,0.7966666666666666,0.8702730490210142,0.08868491898376102,0.29033333333333333,0.21911978040732732,0.19963958289593392,0.10117751368840217,0.1632625547691271
acs,T50,rf,1,15135,3784,0.3645193260654113,3.46,0.8031183932346723,0.8722455483876803,0.09662396342828491,0.7963333333333333,0.8700825820603153,0.0891701766805419,0.2886666666666667,0.23579545454545456,0.2295157113863811,0.1204423842707815,0.22992922143579375
acs,T50,rf,2,15135,3784,0.3645193260654113,4.3,0.7906976744186046,0.8735276247966604,0.0921635026363839,0.7936666666666666,0.8692638619886959,0.08608154270092594,0.28933333333333333,0.20779169985208787,0.1790748127930576,0.09965312344449972,0.15719582069430404
acs,T50,rf,3,15135,3784,0.3645193260654113,5.24,0.7806553911205074,0.866128548362051,0.09489149657893542,0.7936666666666666,0.8693586157034012,0.08832081181664186,0.288,0.20779881101376718,0.18751837077472183,0.11929909158785465,0.2248736097067745
acs,T50,rf,4,15135,3784,0.3645193260654113,3.28,0.7909619450317125,0.8716693376591854,0.08969718974887142,0.794,0.8693610145316216,0.08680386519023844,0.28833333333333333,0.2164637615200819,0.20433200363916304,0.11891799402687905,0.15517357600269632
acs,T85,hgb,0,15135,3784,0.16663363065741657,76.7,0.866014799154334,0.8777425491439442,0.009403616812490578,0.8693333333333333,0.878003884073228,0.01394136843745858,0.113,0.12673156786892706,0.2439092922548015,0.037269785963165755,0.21025104602510458
acs,T85,hgb,1,15135,3784,0.16663363065741657,28.17,0.8734143763213531,0.8816239896931082,0.006726704002604294,0.8703333333333333,0.8770113813627404,0.017879033147875673,0.118,0.12337154397542383,0.25162804535387256,0.039937468889995026,0.21443514644351463
acs,T85,hgb,2,15135,3784,0.16663363065741657,30.34,0.8734143763213531,0.8891337278940323,0.012691983457752198,0.8676666666666667,0.8775761142540577,0.012386842496670752,0.11666666666666667,0.116711941062692,0.21744735711216157,0.020291500746640115,0.21443514644351463
acs,T85,hgb,3,15135,3784,0.16663363065741657,26.82,0.8681289640591966,0.8748301476583024,0.012760776771305521,0.8693333333333333,0.8770620231709291,0.015954242311807577,0.11833333333333333,0.12936980885197408,0.23141383755908895,0.040699664011946246,0.22280334728033474
