,V0,V1_workforce,V3_drop,V3_impute,V4_dedup,V5_uniform,V5_hist
V0,0.0,0.01303333333333333,0.013366666666666666,0.010750000000000003,0.0108,0.012266666666666665,0.014716666666666664
V1_workforce,0.01303333333333333,0.0,0.013999999999999997,0.017116666666666665,0.013466666666666663,0.01393333333333333,0.015183333333333332
V3_drop,0.013366666666666666,0.013999999999999997,0.0,0.016983333333333333,0.0136,0.014499999999999997,0.014983333333333331
V3_impute,0.010750000000000003,0.017116666666666665,0.016983333333333333,0.0,0.015283333333333331,0.01755,0.018033333333333335
V4_dedup,0.0108,0.013466666666666663,0.0136,0.015283333333333331,0.0,0.013399999999999999,0.014749999999999996
V5_uniform,0.012266666666666665,0.01393333333333333,0.014499999999999997,0.01755,0.013399999999999999,0.0,0.01568333333333333
V5_hist,0.014716666666666664,0.015183333333333332,0.014983333333333331,0.018033333333333335,0.014749999999999996,0.01568333333333333,0.0
