variant,model,seed,d_common_acc,d_common_auc,d_common_ece,d_sex_dp_diff,d_sex_tpr_gap,d_race_dp_diff,d_race_tpr_gap,d_own_acc,d_own_auc,d_own_ece,d_common_posrate_pred,churn_vs_base,abs_d_common_acc
T25,hgb,1,0.031333333333333324,0.0167551026460796,0.010332431728806844,-0.082564142678348,-0.10942590068790292,-0.05869680189148832,-0.1779058846379633,0.02669133192389006,0.012220809139399602,0.002201061113666223,0.35566666666666663,0.35633333333333334,0.031333333333333324
T25,hgb,2,0.019333333333333313,0.013119274153908567,0.006235733257626427,-0.07325563204005003,-0.08161582065418782,-0.01559388999502237,-0.12494878021815903,0.03884778012684986,0.01541821301093671,0.007484660660452159,0.3603333333333333,0.361,0.019333333333333313
T25,hgb,3,0.029333333333333322,0.016970071964727662,0.006366523045425296,-0.0812450221868245,-0.11162482156450926,-0.12258897461423593,-0.21258176935321438,0.03276955602537002,0.015863879808710624,0.0023477479608949997,0.3583333333333334,0.35833333333333334,0.029333333333333322
T25,hgb,4,0.031000000000000028,0.01733947661997859,0.0021293565652475404,-0.08057301740812378,-0.12187494467340043,-0.0779616724738676,-0.14261495930140144,0.022727272727272707,0.010908568822211695,-0.0010084186014658603,0.3573333333333333,0.358,0.031000000000000028
T85,logreg,0,0.05899999999999994,0.0028061598313675606,0.00043251069038828874,-0.05806263511207188,0.10787458023856522,-0.18953770532603287,-0.24896338806367946,0.06765327695560264,0.0038315763025984495,-0.0005897161705320959,-0.23833333333333334,0.23833333333333334,0.05899999999999994
T85,logreg,1,0.061999999999999944,0.004410220511037233,-0.007217087874225937,-0.0627524462396177,0.09670768936592072,-0.16379417620706815,-0.1659791528289567,0.061046511627906974,0.0008675514755941416,-0.009442617703979231,-0.23399999999999999,0.234,0.061999999999999944
T85,logreg,2,0.06299999999999994,0.004369812970074771,-0.0024210789259483043,-0.05808041301627037,0.1377036794809482,-0.1456725983076157,-0.1711743755931706,0.06448202959830873,0.010481515383838902,-0.0038482550187444037,-0.23500000000000001,0.235,0.06299999999999994
T85,logreg,3,0.05833333333333335,0.0047746501693726184,-0.00945670213224843,-0.0514136989418591,0.11626473266608006,-0.18801331508213046,-0.25119504930807923,0.06923890063424942,-0.005708803078994573,-0.0036394798251184503,-0.235,0.235,0.05833333333333335
T85,logreg,4,0.05933333333333324,0.006409065503112821,-0.0101081168336188,-0.05742618614176809,0.11873772533028126,-0.16265088352414137,-0.24411719288745237,0.05946088794926008,-0.0011073739353677503,0.0015733471752788011,-0.2326666666666667,0.23333333333333334,0.05933333333333324
T85,rf,0,0.04833333333333334,0.004291795896121275,-0.02970851838859502,-0.16728296734554554,-0.019397607424048696,-0.07030861124937778,-0.01681904012477564,0.06263213530655398,0.003011728885327747,-0.03663252265576784,-0.25966666666666666,0.25966666666666666,0.04833333333333334
T85,rf,1,0.04566666666666663,0.005182040569974067,-0.029591394544949343,-0.1925987029241097,-0.07408283313442249,-0.09452775012444004,-0.10859030930190254,0.04492600422832982,-0.0012417336299023196,-0.03987323812718691,-0.263,0.263,0.04566666666666663
T85,rf,2,0.05033333333333334,0.004929609668388513,-0.02636704007957453,-0.15794956764136991,-0.007212725589328811,-0.06954641612742656,-0.014936406468362612,0.05946088794926008,0.0035677240171412272,-0.03505458088110332,-0.25966666666666666,0.25966666666666666,0.05033333333333334
T85,rf,3,0.04966666666666675,0.0051778391091434894,-0.02986050102149765,-0.15927935487541242,-0.018119012075835855,-0.09147896963663514,-0.09307444652685817,0.07293868921775892,-0.005278632407505923,-0.04605439588496597,-0.2603333333333333,0.26033333333333336,0.04966666666666675
T85,rf,4,0.04833333333333334,0.007136659398052192,-0.025050856090520546,-0.1712723290476732,-0.05202298906113256,-0.09262226231956198,-0.029650563450395073,0.061046511627906974,0.01153616605995178,-0.02575118555545859,-0.26166666666666666,0.26166666666666666,0.04833333333333334
T85,hgb,0,0.052999999999999936,-0.003070608658562346,-0.014067824697545287,-0.07673654568210267,0.0972685196325046,-0.06480214036834243,0.005465066921633066,0.05417547568710357,-0.007343513099478338,-0.005245191944858884,-0.237,0.23766666666666666,0.052999999999999936
T85,hgb,1,0.06433333333333324,-0.0022793427043673598,0.00686929487818997,-0.08740684378200025,0.08420205333203762,-0.10676175958188155,-0.1145840648810556,0.06606765327695563,-0.004124368136467993,-0.005569697034931845,-0.23633333333333334,0.239,0.06433333333333324
T85,hgb,2,0.053333333333333344,-0.005626139109219386,-0.004364189031409133,-0.07874189327568548,0.08076529398668042,-0.06442104280736687,-0.061061988709838866,0.07399577167019034,0.007603377328148753,-0.0033680338780634964,-0.23600000000000002,0.238,0.053333333333333344
T85,hgb,3,0.06133333333333324,-0.003513993056664,0.0049401677138724166,-0.07873833769484578,0.06940110048861514,-0.1517701592832255,-0.11430484281066627,0.06844608879492597,-0.003420234145378842,-0.00023059379762137462,-0.23666666666666664,0.23933333333333334,0.06133333333333324
T85,hgb,4,0.05566666666666664,-0.0007910904811505581,-0.004369897337387315,-0.08872240869268402,0.047138028257798115,-0.11019163763066202,-0.06214291657324006,0.06316067653276947,0.004680596198256226,-0.003271184359485325,-0.2396666666666667,0.241,0.05566666666666664
