variant,model,AGEP,COW,MAR,OCCP,POBP,RAC1P,RELP,SCHL,SEX,WKHP
T25,logreg,0.02299958482702464,0.00812102292233879,0.0015003113797316485,0.0529788328316661,0.002133915906181646,-7.651425027899167e-06,0.015192802603879821,0.011614197851213788,0.009315942642256717,0.10308939592332086
T25,rf,0.022698434718041668,0.008062489520874478,0.008675352032085432,0.019974693743396534,0.0018910995962709177,0.00042907860874472623,0.019430028716130844,0.012253557579967371,0.014893665152349893,0.10144031422739244
T25,hgb,0.06154827916124409,0.010817767673461046,0.001958232534125274,0.026778972952545166,0.0003027469281191279,0.0002933157150954472,0.013229230705767389,0.016911113062778885,0.008346623525936254,0.14145272616947033
T50,logreg,0.019621279397439986,0.004948750634290152,0.005992816628933117,0.09718468722398486,0.003083293872609098,0.00046409329970496706,0.015127522507805432,0.02765663428728334,0.007310764837592158,0.05117002846449568
T50,rf,0.02002159585085883,0.005757123760185697,0.014566612501125505,0.027553180822232022,0.0030035248381871027,0.0010169752279407084,0.019502985181798455,0.044127756473517854,0.01884206003051634,0.05455890106800633
T50,hgb,0.07673889858282025,0.009068210360603035,0.004353489407494189,0.053018933311456004,-0.00038598745284907916,0.001218620728146691,0.015027827206965938,0.046885849200382586,0.009075102993689623,0.09759475891216657
T85,logreg,0.018185217553883005,0.0016558336677483076,0.0066928520622342004,0.09630340376892703,0.0039561994397174635,0.0006049905711603317,0.013237564047180794,0.04230570618083264,0.009628337723568926,0.030242674010240417
T85,rf,0.015263261951402781,0.0069235536328719595,0.01647917688134955,0.037936136587606605,0.002909116113737357,0.0004470802056261899,0.007770090283090251,0.05900849989500776,0.021846262212540594,0.0307895799620084
T85,hgb,0.08510511883816439,0.009359373453410669,0.0050167360945395575,0.050471467561236306,0.0010842462286559643,0.0008023657397425571,0.014887412773961278,0.058290562745583994,0.011458885629568465,0.06325299956801006
